P1627	Ethnologue.com code	197
P1628	equivalent property	43
P1629	subject item of this property	854
P163	flag	2046
P1630	formatter URL	650
P1631	China Vitae ID	507
P1632	Hermann–Mauguin notation	25
P1635	religious name	47
P1636	date of baptism in early childhood	403
P1637	undercarriage	88
P1638	working title	15
P1639	pendant of	242
P1640	curator	15
P1641	port	110
P1642	acquisition transaction	0
P1643	departure transaction	0
P1644	EgliseInfo ID	5118
P1645	NIST/CODATA ID	2
P1646	mandatory qualifier	65
P1647	subproperty of	100
P1648	Dictionary of Welsh Biography ID	4179
P1649	KMDb person ID	68
P1650	BBF identifier	410
P1651	YouTube video identifier	394
P1652	referee	132
P1653	TERYT municipality code	2
P1654	wing configuration	530
P1655	station number	2
P1656	unveiled by	12
P1657	MPAA film rating	33
P1658	number of faces	3
P1659	see also	541
P166	award received	309788
P1660	has index case	1
P1661	Alexa rank	5
P1662	DOI Prefix	35
P1663	ProCyclingStats ID	283
P1664	Cycling Database ID	11
P1665	Chess Games ID	1664
P1666	Chess Club ID	38
P1667	TGN identifier	2372
P1668	ATCvet	7
P1669	CONA  identifier	80
P167	structure replaced by	73
P1670	LAC identifier	1337
P1671	route number	74
P1672	this taxon is source of	151
P1673	general formula	7
P1674	number confirmed	3
P1675	number probable	0
P1676	number suspected	0
P1677	index case of	1
P1678	has vertex figure	5
P1679	BBC Your Paintings artwork identifier	27
P1680	subtitle	1480
P1683	quote	8
P1684	inscription	153
P1685	Pokémon browser number	1010
P1686	for work	0
P1687	Wikidata property	442
P1688	AniDB identifier	1
P1689	central government debt as a percent of GDP	1
P169	chief executive officer	436
P1690	ICD-10-PCS	2
P1691	operations and procedures key (OPS)	2
P1692	ICD-9-CM	35
P1693	Terminologia Embryologica (TE)	28
P1694	Terminologia Histologica (TH)	113
P1695	NLP identifier	5926
P1696	inverse of	67
P1697	total valid votes	32
P1699	SkyscraperPage building id	46
P17	country	3539156
P170	creator	109636
P1700	SIPA identifier	6
P1702	IGESPAR identifier	2
P1703	pollination	2
P1704	pollenizer	1
P1705	native label	9243
P1706	together with	0
P1707	DAAO identifier	2
P1708	LfDS object ID	6
P1709	equivalent class	327
P171	parent taxon	2004735
P1710	Sächsische Biografie	881
P1711	British Museum person-institution	12712
P1712	Metacritic ID	1618
P1713	biography at the Bundestag of Germany	2243
P1714	Journalisted ID	241
P1715	RKD/ESD identifier (Slovenia)	6
P1716	brand	172
P1717	SANDRE ID	1673
P172	ethnic group	11042
P1721	pinyin transliteration	0
P1725	beats per minute	91
P1726	Florentine musea Inventario 1890  ID	16
P1727	Flora of North America taxon ID	12358
P1728	AllMusic artist ID	20370
P1729	AllMusic album ID	10799
P1730	AllMusic song ID	237
P1731	Fach	296
P1732	Naturbase ID	564
P1733	Steam ID	257
P1734	oath of office date	0
P1735	Comedien.ch identifier	43
P1736	Information Center for Israeli Art artist identifier	1
P1738	Merck Index monograph	1
P1739	CiNii book identifer	1
P1740	category for films shot at this location	1190
P1741	GTAA id	5339
P1743	Bradley and Fletcher checklist number	2
P1744	Agassiz et al checklist number	2
P1745	VASCAN ID	9060
P1746	ZooBank nomenclatural act	24504
P1747	Flora of China ID	34983
P1748	NCI Thesaurus ID	4470
P1749	Parlement & Politiek ID	3483
P175	performer	147421
P1750	name day	1292
P1751	BBC Your Paintings collection identifier	1
P1752	scale	22
P1753	list related to category	375
P1754	category related to list	374
P1755	Aviation Safety Network accident description ID	77
P176	manufacturer	24010
P1760	Aviation Safety Network Wikibase Occurrence	8
P1761	Watson & Dallwitz family ID	543
P1762	Hornbostel-Sachs classification	315
P1763	National Pipe Organ Register identifier	2
P1764	Flemish organization for Immovable Heritage relict ID	168
P1766	place name sign	358
P1769	denkXweb identifier	254
P177	crosses	3301
P1770	Romania LMI code	1139
P1771	Integrated Postsecondary Education Data System identifier	3454
P1772	USDA PLANTS ID	33683
P1773	attributed to	14
P1774	workshop of	1
P1775	follower of	4
P1776	circle of	1
P1777	manner of	0
P1778	forgery after	0
P1779	possible creator	4
P178	developer	16311
P1780	school of	0
P1782	courtesy name	13
P1785	temple name	2
P1786	posthumous name	9
P1787	art-name	26
P1788	DVN identifier	1388
P1789	chief operating officer	9
P179	series	35826
P1790	BioStor author identifier	9
P1791	category of people buried here	260
P1792	category of associated people	6537
P1793	format as a regular expression	332
P1794	bureau du patrimoine de Seine-Saint-Denis ID	30
P1795	Smithsonian American Art Museum: person/institution thesaurus id	2722
P1796	International Standard Industrial Classification code	38
P1798	ISO 639-5 code	112
P1799	Maltese Islands National Inventory of Cultural Property identifier	118
P18	image	980362
P180	depicts	80529
P1800	Wikimedia database name	338
P1801	commemorative plaque image	2063
P1802	EMLO person identifier	4343
P1803	Masaryk University person ID	3
P1804	Danish National Filmography ID	17568
P1805	World Health Organisation International Nonproprietary Name	1621
P1806	ABoK number	6
P1807	Great Aragonese Encyclopedia ID	293
P1808	senat.fr ID	4674
P1809	choreographer	124
P181	taxon range map image	6350
P1810	named as	6
P1811	list of episodes	282
P1813	short name	4014
P1814	name in kana	822
P1815	RSL scanned book's identifier	60
P1816	National Portrait Gallery (London) person identifier	19451
P1817	addressee	28
P1818	KH	469
P1819	genealogics.org person ID	5102
P1820	Open Food Facts food additive slug	16
P1821	Open Food Facts food category slug	7
P1822	DSH object ID	2
P1823	BAnQ ID	6
P1824	road number	1894
P1825	Baseball-Reference.com major league player ID	8
P1826	Baseball-Reference.com minor league player ID	8
P1827	ISWC	28
P1828	IPI number	23
P1829	Roud Folk Song Index	1
P183	endemic to	1706
P1830	owner of	113
P1831	electorate	28
P1832	GrassBase ID	11118
P1833	number of registered users/contributors	9
P1836	draft pick number	0
P1837	Gaoloumi ID	4
P1838	PSS-archi ID	242
P1839	US Federal Election Commission identifier	57
P184	doctoral advisor	4139
P1840	investigated by	38
P1841	Swedish district code	20
P1842	Global Anabaptist Mennonite Encyclopedia Online identifier	1506
P1843	taxon common name	3283
P1844	HathiTrust id	14
P1845	anti-virus alias	29
P1846	distribution map	306
P1847	Nasjonalbiblioteket photographer ID	18
P1848	INPN Code	373
P1849	SSR WrittenForm ID	0
P185	doctoral student	902
P1850	SSR Name ID	5
P1851	input set	9
P1852	Perry Index	54
P1853	blood type	49
